#redshift fsigma error
0.05 0.45478231079040804 0.1438931231340851
0.15000000000000002 0.473845133424285 0.05705095406428391
0.25000000000000006 0.4856255571622972 0.036616167010037205
0.35000000000000003 0.4911357586061758 0.028289419695715728
0.45000000000000007 0.4915861967571621 0.02929853732672686
0.5500000000000002 0.48811405759253995 0.025186685371775062
0.6500000000000001 0.48168102813832314 0.02249450401405969
0.7500000000000002 0.47307898681577243 0.020531628027804522
0.8500000000000002 0.46303040816171714 0.01916945889789509
0.9500000000000002 0.45192796569397675 0.01893578176257763
1.0500000000000003 0.4403335372873676 0.021003909728607436
1.1500000000000004 0.428503106007559 0.01105538013499502
1.2500000000000002 0.41658453005834845 0.010914514687528729
1.3500000000000003 0.4047833616817744 0.010888672429239733
1.4500000000000004 0.3932585859046111 0.01101124040532911
1.5500000000000003 0.38198822965203655 0.012758406870378021
1.6500000000000004 0.37105740785841373 0.027087190773664203
1.7500000000000004 0.36052908286574187 0.0276525806558024
1.8500000000000003 0.3504480332511343 0.028631604316617675
1.9500000000000004 0.3407036757755453 0.02950493832216222
2.0500000000000003 0.33131834815836064 0.03174029775357095
