#redshift fsigma error
0.05 0.44119695146864985 0.13959471544468083
0.15000000000000002 0.4622144661203833 0.05565062172089415
0.25000000000000006 0.47688572462337914 0.03595718363660279
0.35000000000000003 0.48552457793776743 0.027966215689215403
0.45000000000000007 0.4888744013215466 0.029136914318764178
0.5500000000000002 0.48780058633397383 0.02517051025483305
0.6500000000000001 0.48317837768548194 0.022564430237912006
0.7500000000000002 0.47580319741530697 0.02064985876782432
0.8500000000000002 0.46645876943892667 0.019311393054771562
0.9500000000000002 0.4556399750906377 0.01909131495629772
1.0500000000000003 0.4440036649997907 0.021178974820490012
1.1500000000000004 0.43190058290521943 0.011143035038954661
1.2500000000000002 0.4195526631791393 0.01099227977529345
1.3500000000000003 0.40722688808180196 0.010954403289400472
1.4500000000000004 0.39513066570481514 0.011063658639734823
1.5500000000000003 0.3832705335135975 0.012801235819354157
1.6500000000000004 0.3717566639574809 0.027138236468896106
1.7500000000000004 0.3606694470037126 0.027663346585184757
1.8500000000000003 0.3500649323517336 0.028600304973136634
1.9500000000000004 0.3398321251806989 0.029429462040648523
2.0500000000000003 0.32999748751051644 0.031613759303507474
